genome_accession,base_pairs,AA_length,proteins,KOs_per_genome
GCA_000306725,3072769,878129,3004,1450
GCA_000196135,2110355,663155,2077,1307
GCA_000023205,2501097,753738,2288,1330
GCA_001914405,2141311,524750,2075,1000
GCA_003141075,1921428,497488,2147,946
GCA_000017185,1569500,443278,1525,990
GCA_003193925,1479542,454640,1282,714
GCA_000402095,833677,245354,936,553
GCA_000830275,1241428,374732,1341,596
GCA_002789635,891026,254199,1132,428
GCA_000423865,1871474,579009,1899,1467
GCA_000220175,1607695,481836,1925,904
GCA_003675855,3735525,1093125,3836,1425
GCA_004524725,2406751,678994,2307,1001
GCA_002689985,433818,128523,549,221
GCA_000802205,3430706,840852,3739,1177
GCA_003663125,1218797,340688,1241,679
GCA_000281175,5144873,1527189,4130,2625
GCA_000423005,4430943,1282216,3846,1572
GCA_000482705,5048579,1476871,4570,1799
GCA_000018465,1645259,503439,1947,928
GCA_000447225,1989604,576250,2229,1083
GCA_001761425,1118574,337893,1222,472
GCA_000018865,5258541,1463682,4311,1985
GCA_000007345,5751492,1439401,4882,1824
GCA_000517625,4131176,1160029,4091,1640
GCA_000204415,3026645,868121,3041,1302
GCA_000590925,3555109,1060645,3543,2181
GCA_000970025,4574907,1090680,3821,1565
GCA_004376705,2672110,727278,2531,1095
GCA_000816145,2165416,678427,2102,1349
GCA_002778455,1146305,342009,1172,494
GCA_000017945,1297538,402120,1489,892
GCA_002763275,658716,192003,749,359
GCA_000017565,3914745,1174963,3700,2042
GCA_000186345,5529304,1554557,3769,1640
GCA_003661685,520608,133537,572,243
GCA_004524595,4171935,1216635,3949,1649
GCA_000426505,4626718,1396093,4280,2352
GCA_900186535,3761792,1104804,3594,1856
GCA_900188145,5388996,1502173,5143,2520
GCA_001007995,3236984,962220,3129,1611
GCA_003170935,1794462,480759,1980,904
GCA_002841675,602417,140138,610,257
GCA_000236665,3806980,1139157,3441,1927
GCA_000970205,4142816,1050370,3552,1522
GCA_002214165,952257,281325,974,455
GCA_002687825,775340,237890,976,352
GCA_000214175,4863490,1487548,4559,2243
GCA_001871475,1154623,345525,1193,579
GCA_000234805,2467972,744017,2793,1326
GCA_000447245,2122767,641675,1905,1545
GCA_001282625,2824716,860095,2344,1245
GCA_001717025,1374477,392262,1500,876
GCA_001818495,899340,272567,871,475
GCA_000426625,3539325,1003847,3302,1789
GCA_000337915,3423703,970569,3309,1349
GCA_000341545,3077713,903045,2926,1941
GCA_001571385,2713913,778275,2653,1308
GCA_000015765,1804962,531107,1815,1091
GCA_002254565,1395301,417199,1551,761
GCA_002011615,2059798,649003,1945,1145
GCA_002792715,1774954,505682,1791,1050
GCA_000166095,1243342,390264,1318,904
GCA_000011805,4273718,1239257,3819,2223
GCA_002786835,965874,226519,1493,477
GCA_000025505,2196266,676696,2591,1318
GCA_000974445,10698154,3258183,9861,3419
GCA_000021965,2922917,837185,2776,1315
GCA_002790905,805816,232601,1017,334
GCA_000806055,562091,167041,704,299
GCA_003662885,2055492,523259,1897,789
GCA_001784555,2109814,634042,2008,1038
GCA_003056285,1536389,422808,1641,898
GCA_000015805,2009313,616979,2290,1204
GCA_000017605,3956089,1226397,3701,1594
GCA_004524565,3132667,902275,2977,1170
GCA_000187225,4284805,1222687,4348,1542
GCA_001017655,2949723,877446,2428,1253
GCA_007117065,907019,269249,1051,425
GCA_001783525,632575,182129,644,349
GCA_002841105,2012983,499459,2031,831
GCA_000378105,3013271,905445,2658,872
GCA_000258405,3658997,1123167,3144,2409
GCA_000017645,5625098,1640383,5177,2752
GCA_000092185,1316595,402145,1410,843
GCA_001817235,655033,188534,712,323
GCA_003056265,1808184,521838,1924,1018
GCA_003660965,812789,228831,889,425
GCA_001642915,8119320,2364575,5767,2038
GCA_000011105,1738505,533606,1878,1004
GCA_003663475,872632,236207,891,451
GCA_003660865,1201421,336711,1249,523
GCA_900177735,2684322,819051,2518,1265
GCA_002688875,1208689,357246,1510,333
GCA_001875355,790833,246576,730,435
GCA_001940645,5684038,1536364,5410,1607
GCA_000987835,2217891,676577,2189,1239
GCA_900115565,5955155,1733205,5662,2323
GCA_000750955,2969604,885969,2430,1053
GCA_000725425,1859370,566739,1989,1032
GCA_002763085,1154177,324508,1426,390
GCA_001821935,740502,215974,801,337
GCA_000014725,2936195,823779,2650,1452
GCA_000230735,4354100,1225243,4353,1531
GCA_000246735,2064136,645324,1721,785
GCA_001591405,3576202,1106387,3528,1793
GCA_007133845,517363,145495,594,280
GCA_001552275,3447472,919045,3085,1815
GCA_000092645,4189976,1169002,3581,1869
GCA_000021885,2269156,652159,2208,1428
GCA_900104655,2888820,816406,2142,1059
GCA_002499655,748133,213935,808,370
GCA_000266925,2160700,662922,2049,1345
GCA_001292705,4057827,1120928,3194,1801
GCA_002792115,1329853,394148,1427,532
GCA_001784635,916337,250205,1113,377
GCA_003554845,633124,186909,726,380
GCA_002762795,1351557,395348,1513,516
GCA_000020945,1424912,439754,1417,1117
GCA_000026045,2749696,825902,2849,1289
GCA_000439105,4020458,1161629,3851,1947
GCA_001975705,5259072,1567866,5078,2659
GCA_000379725,4425125,1296094,3885,1471
GCA_001766825,1456963,446296,1560,959
GCA_000208385,2227296,667871,1861,1314
GCA_000328685,4314118,1218516,4300,1668
GCA_000403075,1914298,552062,1662,933
GCA_002509165,1172587,325374,1125,593
GCA_007131205,930305,272594,1084,418
GCA_000230715,3788356,1052413,3760,1448
GCA_000022205,3692576,1048257,3639,1442
GCA_004524425,2969355,810405,2738,1268
GCA_000089865,1006702,228967,1728,832
GCA_000014865,4719581,1369043,3917,2141
GCA_001872685,3022545,855440,2568,1529
GCA_000334895,3476728,989236,3452,1342
GCA_000270325,1680938,519902,1845,1061
GCA_001008165,3475106,1056929,3274,1620
GCA_002937855,1502655,478817,1508,1094
GCA_002825535,4389059,1239554,4211,1592
GCA_001940665,1460710,438562,1580,940
GCA_000430805,3685547,1089017,3463,1851
GCA_000398765,1149914,345701,1233,703
GCA_000017165,1720048,496281,1744,1079
GCA_000328665,2714013,780539,2636,1291
GCA_000010785,1743135,561024,1904,1352
GCA_003554235,560609,154615,662,317
GCA_000996275,1138813,341105,936,475
GCA_002998355,5242681,1581779,4206,1914
GCA_000022145,5029329,1515447,4516,2338
GCA_001790445,856182,257246,891,416
GCA_001418295,5268632,1534665,4767,2624
GCA_000731315,6455027,1899647,6172,3310
GCA_000213785,1552775,488510,1617,1260
GCA_000012285,2225959,651047,2353,1261
GCA_001778375,3003844,881643,2535,1339
GCA_000317615,3781008,1043324,3598,1620
GCA_900107665,2776859,829386,2893,1230
GCA_000015225,1813393,550423,1929,1094
GCA_000875975,2999361,882624,2502,1170
GCA_000350305,1461105,445432,1505,992
GCA_000398025,553464,166509,542,341
GCA_001778395,873312,260820,976,433
GCA_900106775,3331831,938387,3114,1644
GCA_005191415,3840020,1083931,3593,1461
GCA_000702505,5607959,1537983,4440,2014
GCA_000220525,3384629,1024555,2841,1298
GCA_002084955,826021,234457,768,359
GCA_001549225,729384,206864,847,444
GCA_900167015,2666783,763815,2263,1344
GCA_000421285,5118755,1538230,4693,2387
GCA_001587575,1557731,473069,1734,941
GCA_001515305,4390819,1282079,4231,2432
GCA_000576635,7868338,2306512,7151,3391
GCA_004525545,1596147,456262,1694,971
GCA_000154485,3235195,949494,3056,1109
GCA_004028775,1512112,453528,1626,958
GCA_000427095,3437861,1032437,2891,2147
GCA_000512235,3759482,1091931,3616,1855
GCA_001889405,2022959,604780,2038,1188
GCA_000264495,1356318,413069,1420,875
GCA_001776545,995255,293062,1044,491
GCA_000529525,2107831,568547,2278,1137
GCA_007130955,372193,103746,430,223
GCA_003014555,5535374,1666287,5148,2192
GCA_000012345,1308759,418982,1351,1114
GCA_002502135,733777,216905,819,409
GCA_003162415,3694353,1102454,3665,1503
GCA_000405905,741841,222423,823,496
GCA_000179635,4482087,1283770,4048,1386
GCA_002457595,888183,269605,806,483
GCA_000025265,6359369,1986161,5927,2541
GCA_007116645,900746,261595,1044,417
GCA_001399775,2338641,726876,2499,1278
GCA_002494525,635160,196197,706,396
GCA_000220355,1215802,322085,1503,499
GCA_001870675,3504907,1045870,3354,2024
GCA_900142245,4060624,1103017,3731,1984
GCA_002505585,766458,231391,892,394
GCA_000025625,4443643,1243986,4318,1544
GCA_003553825,473849,129105,541,292
GCA_003019445,1077698,263439,1257,629
GCA_002688315,912474,278454,1039,481
GCA_001945525,2740565,704312,2374,857
GCA_001823825,795918,231945,842,344
GCA_000214725,2546541,669413,2448,1214
GCA_000020645,3018238,883956,2919,1498
GCA_900141795,1673283,519029,1658,1168
GCA_000474745,2591328,785046,2297,1750
GCA_001896515,980507,294920,1016,508
GCA_000024125,3530383,1075791,3116,1364
GCA_003560545,915355,262600,1017,397
GCA_001636295,3826972,1164443,3433,1740
GCA_001677435,4059891,1223311,3630,1906
GCA_002937525,2301030,649935,2354,1195
GCA_000023905,2465610,697612,2298,1219
GCA_001003475,691147,205120,739,358
GCA_000011905,1469720,443415,1543,828
GCA_001983935,8920478,2601392,6660,1977
GCA_000317285,7751745,2068340,6767,2316
GCA_004347835,1072899,287481,1262,673
GCA_900155405,1360589,409277,1293,836
GCA_000021905,6517073,1893605,5287,2418
GCA_000520955,5262767,1482490,4311,1473
GCA_004524435,2770204,781413,2650,1078
GCA_000172635,4653851,1366362,3964,2325
GCA_000949295,4019867,995688,3662,1446
GCA_000214415,1854197,511979,1822,1085
GCA_000706685,2866963,801972,2716,1740
GCA_002687795,925456,276740,996,480
GCA_001870225,3049282,876640,3049,1414
GCA_000421665,2242440,623223,2036,1285
GCA_001787635,1259603,352794,1142,508
GCA_000746255,1687244,526282,1658,1049
GCA_000484535,4724791,1414190,4476,1970
GCA_000300255,1666795,496024,1636,1116
GCA_003660725,789519,205554,875,476
GCA_001786415,599775,174799,741,283
GCA_002773845,1090213,312004,1114,575
GCA_002686855,1259110,365678,1291,559
GCA_001420285,3813178,1128191,3444,1357
GCA_001931675,4464185,1331534,4117,2478
GCA_004348015,1118163,339130,1292,815
GCA_000210915,3437906,1067220,3279,1703
GCA_002506485,1098328,322037,1017,569
GCA_003132625,1414172,365220,1630,795
GCA_002763115,635659,190224,740,314
GCA_002254805,279432,81126,331,161
GCA_000379665,4770838,1452362,3865,1417
GCA_001805325,3075421,873205,2229,1207
GCA_004363215,1783317,475530,1556,874
GCA_000308215,2620233,761256,2596,1344
GCA_900114435,4250330,1205944,4123,1459
GCA_001717015,1268545,360839,1388,798
GCA_003663645,1458562,389397,1252,595
GCA_000175255,2143461,609312,1868,1158
GCA_001771235,3937874,995907,3487,1550
GCA_002780285,566508,161216,662,269
GCA_002422165,991356,306687,972,462
GCA_001571405,2223235,647362,2252,1267
GCA_002878135,1366358,412230,1431,900
GCA_004212075,1257141,374218,1361,880
GCA_000989525,987212,290358,878,517
GCA_002496015,915349,267261,1050,336
GCA_005888705,1099823,277969,1325,559
GCA_002153915,1513137,426335,1516,882
GCA_000011245,3630528,1023381,3554,2102
GCA_001940705,2855654,815940,2763,1192
GCA_000178975,5503984,1613641,4718,1817
GCA_000421585,2302285,701303,2207,1249
GCA_900128965,2489535,702756,2331,1198
GCA_002011075,1671866,507998,1720,987
GCA_000008265,1545895,474556,1596,1014
GCA_900113675,2437433,657001,2202,1350
GCA_001775995,848615,242252,921,609
GCA_900100385,3287116,976091,3330,1319
GCA_003662715,2560388,662295,2673,923
GCA_001780825,4170026,1135002,3279,1566
GCA_900167975,7241272,2160960,5900,1956
GCA_000429065,2647044,819348,2380,1373
GCA_000246985,2215172,671591,2495,1198
GCA_003649375,2155745,588846,2427,895
GCA_000387965,593789,180740,645,330
GCA_000711905,1513583,454035,1610,1031
GCA_000008085,490885,154630,580,303
GCA_000010985,2542933,788511,2468,1529
GCA_001819215,667615,181116,655,346
GCA_000775285,4331368,1216530,4727,2169
GCA_900065925,1805304,544298,2074,928
GCA_002011355,1230939,338170,1210,583
GCA_002938315,2272903,668467,2339,1372
GCA_001871495,1132943,328403,1316,484
GCA_000212375,2186370,636354,1730,930
GCA_002494605,1758451,525326,1438,727
GCA_003019535,2552355,697830,2706,1126
GCA_000755225,3451492,1028533,3449,1315
GCA_001462395,1621727,477647,1681,1017
GCA_003852135,2668974,768312,2969,1409
GCA_001773575,630352,187088,670,343
GCA_900066015,5033966,1506093,4258,1953
GCA_000011185,1584804,460727,1638,925
GCA_003602595,1365509,401490,1239,677
GCA_002938255,874025,264774,892,688
GCA_000425345,4351767,1302067,3951,1872
GCA_000184705,2844696,806019,2381,1674
GCA_001871415,1534662,441423,1486,636
GCA_002937915,932192,281180,957,713
GCA_000185805,1759526,556931,1833,1150
GCA_000153765,2992730,862875,2822,1774
GCA_002504435,1277296,379739,1089,606
GCA_000789255,1860815,572539,2230,1128
GCA_000283575,4470622,1247117,4378,1753
GCA_001790855,2681228,784788,2455,1464
GCA_002998925,1815831,542360,1699,869
GCA_002686355,435653,119786,504,224
GCA_002490245,1347170,388525,1405,853
GCA_003201765,2287077,668412,2357,1302
GCA_000020145,1643562,497746,1541,907
GCA_001577525,2540211,753235,2523,1355
GCA_000404225,1931651,568018,1854,1024
GCA_000328525,3223876,917818,3132,1228
GCA_003841485,3511219,994866,3451,1416
GCA_003660905,832169,234514,833,412
GCA_003663445,574541,160609,704,328
GCA_000020905,1365223,402153,1433,879
GCA_002780175,814737,229826,792,396
GCA_001819985,939072,273658,859,463
GCA_900248165,1577284,457090,1712,872
GCA_900184705,2574431,761619,2202,1232
GCA_900108505,3136824,895829,3103,1266
GCA_001676585,4159260,1180523,3691,1629
GCA_000405245,428886,131366,513,211
GCA_000021685,2920744,861571,2643,1395
GCA_001904655,5009995,1383677,4660,2061
GCA_002937505,2343358,713590,2216,1405
GCA_003650865,1247919,342455,1345,776
GCA_002729015,5326059,1495227,4351,1770
GCA_000185385,3082404,881501,2821,1307
GCA_000016525,1853160,550872,1777,989
GCA_000226975,4381543,1246660,4250,1618
GCA_001789205,5431435,1659018,4608,2033
GCA_001549215,655981,182358,772,431
GCA_003650785,1448026,385045,1455,747
GCA_001467045,4124313,1172094,3650,1572
GCA_900167555,3241569,920451,2812,1306
GCA_000382425,3792478,1132056,3551,1375
GCA_000337235,4926841,1374339,4768,1629
GCA_002688035,745175,229037,799,408
GCA_000284315,2559538,761255,2451,1516
GCA_000239275,1798854,522067,1928,1057
GCA_000023325,2302126,685423,2163,1251
GCA_000949475,5992231,1767361,4705,1976
GCA_000812185,1232128,385004,1470,772
GCA_000024905,1848474,571459,1762,1150
GCA_900176595,5987195,1762404,5070,1814
GCA_002252985,3320122,934548,3275,1300
GCA_000503915,845464,255859,921,434
GCA_001564145,526182,158223,617,276
GCA_000247995,3544917,1031624,3053,1586
GCA_000092305,1328194,410248,1471,999
GCA_003243975,1949983,609029,1976,1073
GCA_001618605,2013285,602938,1870,1007
GCA_003649185,1382915,390440,1474,779
GCA_000018305,2077567,612295,2077,1116
GCA_000007085,2689445,794453,2671,1660
GCA_002938155,1166970,372666,1209,933
GCA_003661285,1266122,332708,1429,428
GCA_001873945,2148420,588950,1910,1037
GCA_000200715,2045086,603854,1922,814
GCA_001717005,1428061,412360,1559,881
GCA_000284335,1558103,478310,1516,1366
GCA_000167195,6238156,1667476,6627,1865
GCA_000423105,2707549,793686,2751,1619
GCA_002503985,1787899,535273,1715,899
GCA_003661385,1739738,490179,1866,984
GCA_002254495,426904,117765,505,236
GCA_003558235,829326,225126,839,354
GCA_001788415,4703206,1375069,4654,2381
GCA_000025485,3669074,1108794,3257,1834
GCA_000270285,3123671,925692,2641,1337
GCA_001775965,1215694,346106,1420,683
GCA_002686295,857738,252853,899,418
GCA_000023985,1507251,453859,1638,1008
GCA_000321415,4002350,1138548,3776,2022
GCA_002763075,914002,276016,1120,364
GCA_000420365,1358385,405310,1323,949
GCA_002505945,1041545,260734,994,420
GCA_000016605,2191517,651090,2386,1326
GCA_000269985,8783278,2549803,7609,2743
GCA_000153105,6663851,1924196,5416,1761
GCA_000385565,2076931,609865,2246,1244
GCA_000172995,3944467,1143234,3952,1513
GCA_000144645,2280035,674303,2306,1494
GCA_000195915,1564906,460331,1569,916
GCA_001273775,4589485,1365614,4499,2357
GCA_002496345,1960633,559142,2053,1068
GCA_900109575,6780495,2008957,5649,2083
GCA_002083825,3906786,1158661,3580,1655
GCA_002495465,613502,173815,696,372
GCA_000284115,3884382,1143599,3123,1697
GCA_001822905,873695,252167,877,404
GCA_003604315,1310867,382445,1464,842
GCA_000227705,4355525,1265501,4007,2131
GCA_000177375,1419583,426300,1401,493
GCA_000143145,3638969,1064192,3550,1877
GCA_900119385,2374959,691239,2048,1216
GCA_003702465,1127829,326114,1436,746
GCA_001870735,7560024,2193237,6247,2018
GCA_005888735,2390752,668218,2650,948
GCA_900111285,2937914,856129,2759,1844
GCA_000020365,5657782,1657051,4927,2582
GCA_000283595,1283087,345698,1453,840
GCA_000428885,3289813,992941,2906,1594
GCA_001899365,1989720,569473,2004,821
GCA_000183405,2216552,692497,2128,1371
GCA_000470655,3146160,918169,3160,1281
GCA_001563875,709831,214050,846,374
GCA_001442855,2423295,757115,2222,1577
GCA_000812025,3805822,1077518,3799,2100
GCA_000005845,4641652,1352707,4318,3612
GCA_003086455,1914064,557950,2126,1108
GCA_900110675,1958489,572968,1843,1169
GCA_002498125,1358156,404887,1540,500
GCA_900187885,3216964,948421,2876,1683
GCA_001871445,1040600,304170,984,489
GCA_002422525,4508844,1357902,3550,1781
GCA_000237865,3260476,849325,3089,1278
GCA_002973575,4040222,1237607,3611,1574
GCA_000021645,1855560,580947,1818,1793
GCA_900290095,1533261,464656,1344,846
GCA_002728275,1406929,415520,1349,727
GCA_000258425,1319206,383387,1354,891
GCA_000286435,3799539,1097614,3527,2570
GCA_002257665,4430441,1313513,3739,1551
GCA_003661365,1823627,502369,1964,973
GCA_900232105,4406153,1189631,4047,1555
GCA_002204705,1905249,549240,2027,999
GCA_001748385,2022594,610506,2168,1151
GCA_003009815,661323,187290,790,364
GCA_001747085,4640370,1337049,3967,1490
GCA_001595815,4772064,1257857,4615,1412
GCA_002844595,4526482,1318478,4201,2434
GCA_000346485,12294410,3347340,10877,3003
GCA_003100395,4256308,1304623,3748,2285
GCA_000018565,6785430,2001842,5605,2280
GCA_001515185,786381,226659,927,567
GCA_001481685,1394664,423029,1534,893
GCA_000745965,8177135,2251539,7439,2454
GCA_002507385,1093370,301757,1193,479
GCA_000195275,2897425,866867,2752,1256
GCA_002316275,1445026,451695,1327,914
GCA_000063445,3179916,890467,3114,1461
GCA_003634715,4459149,1282197,4689,1671
GCA_002503995,801774,242376,894,427
GCA_003662455,1656479,473143,1754,916
GCA_000830315,829411,255702,1014,377
GCA_000012965,2201561,684096,2166,1214
GCA_001282785,2835858,838924,2887,1442
GCA_003663355,751672,214083,862,388
GCA_001822375,738190,217055,822,384
GCA_002937625,1576548,475917,1668,1104
GCA_002844375,5438289,1577940,4711,2489
GCA_000170735,1663618,512877,1743,1104
GCA_000767275,2237377,679487,2084,1216
GCA_003695435,899557,256314,939,425
GCA_001484605,5056151,1486130,4633,2281
GCA_000225345,3592125,1054864,3251,1556
GCA_000091565,3833832,1080661,3418,2563
GCA_000092205,3097763,926215,2692,1640
GCA_003663045,1171794,325863,1174,643
GCA_002436025,2824933,882953,2606,1256
GCA_003431325,1539049,445385,1546,868
GCA_000521175,5851275,1468596,5293,1908
GCA_000025685,4012900,1144514,4024,1640
GCA_002687275,1087504,325141,1302,430
GCA_000012685,9139763,2745795,7328,3020
GCA_002779425,502132,142821,480,306
GCA_003663225,941786,253645,1048,425
GCA_002256485,2468218,759984,2223,1343
GCA_002433075,5642168,1681339,5526,2348
GCA_000007185,1694969,511353,1810,888
GCA_000170835,4413003,1339870,4096,2483
GCA_000971665,1861792,514625,1939,1296
GCA_002838935,1445368,404574,1333,724
GCA_000195295,3282536,936727,2962,1609
GCA_000025205,1617545,467152,1273,775
GCA_003649605,1244650,315406,1443,485
GCA_001700325,3590595,991016,3196,1654
GCA_000493965,2913626,838140,2583,1775
GCA_003694495,843393,251177,923,451
GCA_002688415,803643,236867,985,312
GCA_000967915,1877792,566621,1708,1027
GCA_000306765,3904707,1113529,3951,1525
GCA_001536145,2446411,746730,2207,1578
GCA_000015145,1667163,473390,1824,1011
GCA_004347915,1315707,373465,1368,888
GCA_003568775,575637,177682,652,340
GCA_002785105,504265,126898,476,249
GCA_003351065,3878996,1111882,3813,1485
GCA_000020985,2003803,627740,2003,1538
GCA_007116655,828442,212134,876,336
GCA_001715195,3122722,924285,2752,1449
GCA_000800805,1488669,450284,1419,906
GCA_002895525,2031766,615670,1855,1246
GCA_000019605,1590757,484657,1680,1228
GCA_900107645,3744894,1108226,3350,1964
GCA_000827125,3717645,1102954,3577,1860
GCA_000014045,4331234,1303366,4097,2475
GCA_000151105,2064237,635206,2227,1099
GCA_000146065,2246820,647034,1736,1504
GCA_000007305,1908256,581132,2101,1120
GCA_003601605,1094533,318145,1226,688
GCA_001315925,1920275,519763,4004,1889
GCA_000402515,1021220,308115,1316,395
GCA_000145295,1639135,494657,1747,1059
GCA_003344655,1374210,396388,1486,1065
GCA_002763155,650646,182466,817,299
GCA_900079095,7898184,2193488,7843,2761
GCA_900620265,1996680,579862,2193,840
GCA_000724625,5231762,1567239,4767,2943
GCA_001886955,2085946,630909,2142,1095
GCA_000406005,5441554,1564604,4627,1607
GCA_002254545,485206,144508,603,280
GCA_002497285,866590,261825,1062,372
GCA_002507425,1731072,483381,1435,689
GCA_002825515,3487971,1009011,3533,1406
